x,y,cadmium,copper,lead,zinc,elev,om,ffreq,soil,lime,landuse,dist
180561.00,332193.00,1.20,21.00,48.00,167.00,8.18,NA,1,2,0,Ga,320.00
180451.00,332175.00,1.70,22.00,65.00,176.00,8.69,NA,1,2,0,W,260.00
180410.00,332031.00,1.30,21.00,62.00,258.00,9.28,2.00,1,2,0,Ah,360.00
180355.00,332299.00,4.20,51.00,281.00,746.00,7.94,5.10,1,2,0,Ah,100.00
180292.00,332157.00,4.30,50.00,294.00,746.00,6.36,5.30,1,2,0,Am,200.00
180283.00,332014.00,3.10,38.00,211.00,464.00,7.78,4.50,1,2,0,Ah,320.00
180282.00,331861.00,1.70,26.00,135.00,365.00,8.18,4.90,1,2,0,Ah,480.00
180270.00,331707.00,1.70,24.00,112.00,282.00,9.42,4.50,1,2,0,Bw,660.00
180199.00,331591.00,2.10,32.00,162.00,375.00,8.87,5.50,1,2,0,Bw,690.00
180135.00,331552.00,1.70,24.00,94.00,222.00,8.29,3.40,1,2,0,Ab,710.00
180237.00,332351.00,8.20,47.00,191.00,812.00,8.06,11.10,1,1,1,Ah,10.00
180103.00,332297.00,17.00,128.00,405.00,1548.00,7.98,12.30,1,1,1,W,10.00
179973.00,332255.00,12.00,117.00,654.00,1839.00,7.90,16.50,1,1,1,W,10.00
179826.00,332217.00,9.40,104.00,482.00,1528.00,7.74,13.90,1,1,1,W,10.00
179687.00,332161.00,8.20,76.00,276.00,933.00,7.55,8.10,1,1,1,W,20.00
179792.00,332035.00,2.60,36.00,180.00,432.00,7.76,3.10,1,1,0,Fw,200.00
179902.00,332113.00,3.50,34.00,207.00,550.00,6.74,5.80,1,1,0,Fw,140.00
180100.00,332213.00,10.90,90.00,541.00,1571.00,6.68,10.20,1,1,1,Fw,70.00
179604.00,332059.00,7.30,80.00,310.00,1190.00,7.40,12.00,1,1,1,W,20.00
179526.00,331936.00,9.40,78.00,210.00,907.00,7.44,14.10,1,1,1,W,10.00
179495.00,331770.00,8.30,77.00,158.00,761.00,7.36,14.50,1,1,1,Fw,10.00
179489.00,331633.00,7.00,65.00,141.00,659.00,7.20,14.80,1,1,1,W,20.00
179414.00,331494.00,6.80,66.00,144.00,643.00,7.22,13.30,1,1,1,Ah,10.00
179334.00,331366.00,7.40,72.00,181.00,801.00,7.36,15.20,1,1,1,W,20.00
179255.00,331264.00,6.60,75.00,173.00,784.00,5.18,11.40,1,1,1,W,20.00
179470.00,331125.00,7.80,75.00,399.00,1060.00,5.80,9.00,1,1,0,Ah,270.00
179692.00,330933.00,0.70,22.00,45.00,119.00,7.64,3.60,1,1,1,Fw,560.00
179852.00,330801.00,3.40,55.00,325.00,778.00,6.32,6.90,1,1,0,Bw,750.00
179140.00,330955.00,3.90,47.00,268.00,703.00,5.76,7.00,1,1,1,Ab,80.00
179128.00,330867.00,3.50,46.00,252.00,676.00,6.48,6.20,1,1,1,Ab,130.00
179065.00,330864.00,4.70,55.00,315.00,793.00,6.48,6.50,1,1,0,W,110.00
179007.00,330727.00,3.90,49.00,260.00,685.00,6.32,5.70,1,1,0,W,200.00
179110.00,330758.00,3.10,39.00,237.00,593.00,6.32,7.00,1,1,1,Ah,260.00
179032.00,330645.00,2.90,45.00,228.00,549.00,6.16,7.30,1,1,0,W,270.00
179095.00,330636.00,3.90,48.00,241.00,680.00,6.56,8.20,1,1,0,W,320.00
179058.00,330510.00,2.70,36.00,201.00,539.00,6.90,4.30,1,1,0,Ah,360.00
178810.00,330666.00,2.50,36.00,204.00,560.00,7.54,4.40,1,1,1,Am,80.00
178912.00,330779.00,5.60,68.00,429.00,1136.00,6.42,8.20,1,1,1,W,100.00
178981.00,330924.00,9.40,88.00,462.00,1383.00,6.28,8.50,1,1,1,W,70.00
179076.00,331005.00,10.80,85.00,333.00,1161.00,6.34,9.60,1,1,1,W,20.00
180151.00,330353.00,18.10,76.00,464.00,1672.00,7.31,17.00,1,1,1,W,50.00
179211.00,331175.00,6.30,63.00,159.00,765.00,5.70,12.80,1,1,1,W,80.00
181118.00,333214.00,2.10,32.00,116.00,279.00,7.72,5.90,1,2,0,W,290.00
179474.00,331304.00,1.80,25.00,81.00,241.00,7.93,2.90,2,2,1,Ah,160.00
179559.00,331423.00,2.20,27.00,131.00,317.00,7.82,4.50,2,1,0,W,160.00
179022.00,330873.00,2.80,36.00,216.00,545.00,8.58,10.70,2,1,0,W,140.00
178953.00,330742.00,2.40,41.00,145.00,505.00,8.54,9.40,2,1,0,W,150.00
178875.00,330516.00,2.60,33.00,163.00,420.00,8.50,9.00,2,1,0,Ah,220.00
178803.00,330349.00,1.80,27.00,129.00,332.00,8.66,7.00,2,1,0,Am,280.00
179029.00,330394.00,2.00,38.00,148.00,400.00,7.63,6.50,2,1,1,Am,450.00
178605.00,330406.00,2.70,37.00,214.00,553.00,8.54,9.40,2,1,1,Am,70.00
178701.00,330557.00,2.70,34.00,226.00,577.00,7.68,10.20,2,1,0,Am,70.00
179547.00,330245.00,0.90,19.00,54.00,155.00,7.56,6.40,2,1,0,W,340.00
179301.00,330179.00,0.90,22.00,70.00,224.00,7.76,7.60,2,1,0,W,470.00
179405.00,330567.00,0.40,26.00,73.00,180.00,7.65,7.00,2,1,0,Am,630.00
179462.00,330766.00,0.80,25.00,87.00,226.00,7.95,5.60,2,1,0,Am,460.00
179293.00,330797.00,0.40,22.00,76.00,186.00,8.18,6.50,2,1,0,Am,320.00
179180.00,330710.00,0.40,24.00,81.00,198.00,8.47,6.60,2,1,0,Ah,320.00
179206.00,330398.00,0.40,18.00,68.00,187.00,8.41,5.90,2,1,0,W,540.00
179618.00,330458.00,0.80,23.00,66.00,199.00,7.61,6.50,2,1,0,W,420.00
179782.00,330540.00,0.40,22.00,49.00,157.00,7.79,6.40,2,1,0,SPO,380.00
179980.00,330773.00,0.40,23.00,63.00,203.00,8.76,7.20,2,2,0,W,500.00
180067.00,331185.00,0.40,23.00,48.00,143.00,9.88,6.60,2,3,0,Am,760.00
180162.00,331387.00,0.20,23.00,51.00,136.00,9.10,4.30,2,2,0,Ah,750.00
180451.00,331473.00,0.20,18.00,50.00,117.00,9.10,5.30,2,3,0,Fw,1000.00
180328.00,331158.00,0.40,20.00,39.00,113.00,9.72,4.10,2,3,0,Ah,860.00
180276.00,330963.00,0.20,22.00,48.00,130.00,9.92,6.10,2,3,0,Ah,680.00
180114.00,330803.00,0.20,27.00,64.00,192.00,9.40,7.50,2,3,0,Fw,500.00
179881.00,330912.00,0.40,25.00,84.00,240.00,10.52,8.80,2,3,0,STA,650.00
179774.00,330921.00,0.20,30.00,67.00,221.00,8.84,5.70,2,3,0,DEN,630.00
179657.00,331150.00,0.20,23.00,49.00,140.00,8.47,6.10,2,3,0,Fw,410.00
179731.00,331245.00,0.20,24.00,48.00,128.00,9.63,7.10,2,3,0,Ah,390.00
179717.00,331441.00,0.20,21.00,56.00,166.00,9.21,4.10,2,2,0,Ah,310.00
179446.00,331422.00,0.20,24.00,65.00,191.00,8.47,6.00,2,1,0,Ah,70.00
179524.00,331565.00,0.20,21.00,84.00,232.00,8.46,6.60,2,1,0,W,70.00
179644.00,331730.00,0.20,23.00,75.00,203.00,9.69,6.80,2,1,1,STA,150.00
180321.00,330366.00,3.70,53.00,250.00,722.00,8.70,9.10,2,2,0,Bw,80.00
180162.00,331837.00,0.20,33.00,81.00,210.00,9.42,5.90,2,2,0,Ah,450.00
180029.00,331720.00,0.20,22.00,72.00,198.00,9.57,4.90,2,2,0,Aa,530.00
179797.00,331919.00,0.20,23.00,86.00,139.00,9.56,7.10,2,1,0,W,240.00
179642.00,331955.00,0.20,25.00,94.00,253.00,8.78,8.10,2,1,1,Tv,70.00
179849.00,332142.00,1.20,30.00,244.00,703.00,8.54,8.30,2,1,0,Fw,70.00
180265.00,332297.00,2.40,47.00,297.00,832.00,8.81,10.00,2,1,0,Ah,60.00
180107.00,332101.00,0.20,31.00,96.00,262.00,9.52,5.90,2,1,0,Ah,190.00
180462.00,331947.00,0.20,20.00,56.00,142.00,9.81,5.00,2,2,0,Ah,450.00
180478.00,331822.00,0.20,16.00,49.00,119.00,9.60,4.50,2,2,0,Am,550.00
180347.00,331700.00,0.20,17.00,50.00,152.00,9.73,5.40,2,2,0,Am,650.00
180862.00,333116.00,0.40,26.00,148.00,415.00,9.52,2.30,2,1,0,Am,100.00
180700.00,332882.00,1.60,34.00,162.00,474.00,9.72,7.50,2,1,0,W,170.00
180201.00,331160.00,0.80,18.00,37.00,126.00,9.04,4.60,2,3,1,Ah,860.00
180173.00,331923.00,1.20,23.00,80.00,210.00,9.53,5.80,2,2,0,W,410.00
180923.00,332874.00,0.20,20.00,80.00,220.00,9.16,4.40,3,1,0,Aa,290.00
180467.00,331694.00,0.20,14.00,49.00,133.00,10.08,4.40,3,2,0,Am,680.00
179917.00,331325.00,0.80,46.00,42.00,141.00,9.97,4.50,3,2,0,Am,540.00
179822.00,331242.00,1.00,29.00,48.00,158.00,10.14,5.20,3,2,0,Am,480.00
179991.00,331069.00,0.80,19.00,41.00,129.00,10.32,4.60,3,3,0,W,720.00
179120.00,330578.00,1.20,31.00,73.00,206.00,9.04,6.90,3,1,0,W,380.00
179034.00,330561.00,2.00,27.00,146.00,451.00,7.86,7.00,3,1,0,W,310.00
179085.00,330433.00,1.50,29.00,95.00,296.00,8.74,5.40,3,1,0,Ah,430.00
179236.00,330046.00,1.10,22.00,72.00,189.00,7.82,6.20,3,1,0,Ah,370.00
179456.00,330072.00,0.80,20.00,51.00,154.00,7.78,5.00,3,1,0,Fw,290.00
179550.00,329940.00,0.80,20.00,54.00,169.00,8.12,5.10,3,1,0,W,150.00
179445.00,329807.00,2.10,29.00,136.00,403.00,8.23,8.10,3,1,0,Bw,70.00
179337.00,329870.00,2.50,38.00,170.00,471.00,8.35,8.00,3,1,0,Bw,220.00
179245.00,329714.00,3.80,39.00,179.00,612.00,7.30,8.80,3,1,0,W,80.00
179024.00,329733.00,3.20,35.00,200.00,601.00,7.54,9.30,3,1,0,W,120.00
178786.00,329822.00,3.10,42.00,258.00,783.00,7.71,8.40,3,1,0,Ah,120.00
179135.00,329890.00,1.50,24.00,93.00,258.00,8.07,7.70,3,1,0,Am,260.00
179030.00,330082.00,1.20,20.00,68.00,214.00,8.23,5.70,3,1,0,Ah,440.00
179184.00,330182.00,0.80,20.00,49.00,166.00,8.13,4.70,3,1,0,Am,540.00
179085.00,330292.00,3.10,39.00,173.00,496.00,8.58,9.10,3,1,0,Ah,520.00
178875.00,330311.00,2.10,31.00,119.00,342.00,8.43,6.50,3,1,0,Ah,350.00
179466.00,330381.00,0.80,21.00,51.00,162.00,9.41,5.70,3,1,0,W,460.00
180627.00,330190.00,2.70,27.00,124.00,375.00,8.26,5.50,3,3,0,W,40.00
